vial,cage,cagediet,assaydiet,lifespan
17,4b,4,4,80.5
17,4b,4,4,83
17,4b,4,4,83
18,4b,4,4,22
18,4b,4,4,27
18,4b,4,4,27
18,4b,4,4,50
18,4b,4,4,50
18,4b,4,4,55
18,4b,4,4,59.5
18,4b,4,4,64
18,4b,4,4,64
18,4b,4,4,64
18,4b,4,4,64
18,4b,4,4,66.5
18,4b,4,4,66.5
18,4b,4,4,66.5
18,4b,4,4,69
18,4b,4,4,69
18,4b,4,4,69
18,4b,4,4,69
18,4b,4,4,71
18,4b,4,4,71
18,4b,4,4,71
18,4b,4,4,71
18,4b,4,4,71
18,4b,4,4,71
18,4b,4,4,71
18,4b,4,4,71
18,4b,4,4,73.5
18,4b,4,4,73.5
18,4b,4,4,73.5
18,4b,4,4,73.5
18,4b,4,4,73.5
18,4b,4,4,73.5
18,4b,4,4,78
18,4b,4,4,78
18,4b,4,4,80.5
18,4b,4,4,80.5
18,4b,4,4,80.5
18,4b,4,4,83
18,4b,4,4,87.5
18,4b,4,4,87.5
19,4c,4,4,20
19,4c,4,4,31.5
19,4c,4,4,48
19,4c,4,4,50
19,4c,4,4,59.5
19,4c,4,4,64
19,4c,4,4,64
19,4c,4,4,69
19,4c,4,4,71
19,4c,4,4,73.5
19,4c,4,4,73.5
19,4c,4,4,76
19,4c,4,4,76
19,4c,4,4,78
19,4c,4,4,80.5
19,4c,4,4,80.5
19,4c,4,4,80.5
19,4c,4,4,80.5
19,4c,4,4,80.5
19,4c,4,4,80.5
19,4c,4,4,80.5
19,4c,4,4,80.5
19,4c,4,4,83
19,4c,4,4,83
19,4c,4,4,83
19,4c,4,4,83
19,4c,4,4,85
19,4c,4,4,85
19,4c,4,4,85
19,4c,4,4,85
19,4c,4,4,85
19,4c,4,4,87.5
19,4c,4,4,87.5
19,4c,4,4,87.5
19,4c,4,4,87.5
19,4c,4,4,87.5
19,4c,4,4,87.5
19,4c,4,4,87.5
19,4c,4,4,87.5
19,4c,4,4,90
20,4c,4,4,43
20,4c,4,4,43
20,4c,4,4,45.5
20,4c,4,4,48
20,4c,4,4,50
20,4c,4,4,50
20,4c,4,4,50
20,4c,4,4,64
20,4c,4,4,66.5
20,4c,4,4,66.5
20,4c,4,4,66.5
20,4c,4,4,66.5
20,4c,4,4,66.5
20,4c,4,4,71
20,4c,4,4,71
20,4c,4,4,71
20,4c,4,4,73.5
20,4c,4,4,76
20,4c,4,4,76
20,4c,4,4,76
20,4c,4,4,76
20,4c,4,4,76
20,4c,4,4,76
20,4c,4,4,76
20,4c,4,4,76
20,4c,4,4,76
20,4c,4,4,78
20,4c,4,4,78
20,4c,4,4,78
20,4c,4,4,78
20,4c,4,4,78
20,4c,4,4,78
20,4c,4,4,78
20,4c,4,4,80.5
20,4c,4,4,80.5
20,4c,4,4,80.5
20,4c,4,4,80.5
20,4c,4,4,80.5
20,4c,4,4,80.5
20,4c,4,4,87.5
21,4c,4,4,34
21,4c,4,4,36
21,4c,4,4,36
21,4c,4,4,57
21,4c,4,4,59.5
21,4c,4,4,66.5
21,4c,4,4,66.5
21,4c,4,4,69
21,4c,4,4,69
21,4c,4,4,71
21,4c,4,4,71
21,4c,4,4,71
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,73.5
21,4c,4,4,76
21,4c,4,4,76
21,4c,4,4,76
21,4c,4,4,76
21,4c,4,4,78
21,4c,4,4,78
21,4c,4,4,80.5
21,4c,4,4,80.5
21,4c,4,4,80.5
21,4c,4,4,80.5
21,4c,4,4,83
21,4c,4,4,83
21,4c,4,4,83
21,4c,4,4,83
21,4c,4,4,87.5
22,4d,4,4,17.5
22,4d,4,4,31.5
22,4d,4,4,34
22,4d,4,4,34
22,4d,4,4,43
22,4d,4,4,43
22,4d,4,4,50
22,4d,4,4,55
22,4d,4,4,57
22,4d,4,4,59.5
22,4d,4,4,59.5
22,4d,4,4,66.5
22,4d,4,4,66.5
22,4d,4,4,69
22,4d,4,4,69
22,4d,4,4,69
22,4d,4,4,69
22,4d,4,4,69
22,4d,4,4,69
22,4d,4,4,73.5
22,4d,4,4,73.5
22,4d,4,4,73.5
22,4d,4,4,73.5
22,4d,4,4,73.5
22,4d,4,4,73.5
22,4d,4,4,76
22,4d,4,4,76
22,4d,4,4,76
22,4d,4,4,76
22,4d,4,4,78
22,4d,4,4,78
22,4d,4,4,78
22,4d,4,4,78
22,4d,4,4,80.5
22,4d,4,4,80.5
22,4d,4,4,83
22,4d,4,4,83
22,4d,4,4,83
22,4d,4,4,87.5
22,4d,4,4,92
23,4d,4,4,10.5
23,4d,4,4,45.5
23,4d,4,4,48
23,4d,4,4,55
23,4d,4,4,57
23,4d,4,4,57
23,4d,4,4,64
23,4d,4,4,64
23,4d,4,4,64
23,4d,4,4,66.5
23,4d,4,4,69
23,4d,4,4,69
23,4d,4,4,71
23,4d,4,4,71
23,4d,4,4,71
23,4d,4,4,71
23,4d,4,4,71
23,4d,4,4,71
23,4d,4,4,73.5
23,4d,4,4,73.5
23,4d,4,4,73.5
23,4d,4,4,73.5
23,4d,4,4,78
23,4d,4,4,78
23,4d,4,4,78
23,4d,4,4,80.5
23,4d,4,4,80.5
23,4d,4,4,80.5
23,4d,4,4,80.5
23,4d,4,4,80.5
23,4d,4,4,80.5
23,4d,4,4,80.5
23,4d,4,4,80.5
23,4d,4,4,80.5
23,4d,4,4,80.5
23,4d,4,4,83
23,4d,4,4,85
23,4d,4,4,85
23,4d,4,4,92
23,4d,4,4,92
24,4d,4,4,43
24,4d,4,4,48
24,4d,4,4,52.5
24,4d,4,4,59.5
24,4d,4,4,62
24,4d,4,4,64
24,4d,4,4,64
24,4d,4,4,66.5
24,4d,4,4,71
24,4d,4,4,71
24,4d,4,4,71
24,4d,4,4,71
24,4d,4,4,73.5
24,4d,4,4,73.5
24,4d,4,4,73.5
24,4d,4,4,73.5
24,4d,4,4,73.5
24,4d,4,4,73.5
24,4d,4,4,73.5
24,4d,4,4,76
24,4d,4,4,76
24,4d,4,4,76
24,4d,4,4,76
24,4d,4,4,76
24,4d,4,4,76
24,4d,4,4,78
24,4d,4,4,78
24,4d,4,4,78
24,4d,4,4,80.5
24,4d,4,4,80.5
24,4d,4,4,80.5
24,4d,4,4,80.5
24,4d,4,4,80.5
24,4d,4,4,80.5
24,4d,4,4,80.5
24,4d,4,4,80.5
24,4d,4,4,80.5
24,4d,4,4,83
24,4d,4,4,83
24,4d,4,4,90
25,4a,4,1,1
25,4a,4,1,13
25,4a,4,1,29
25,4a,4,1,36
25,4a,4,1,36
25,4a,4,1,36
25,4a,4,1,36
25,4a,4,1,38.5
25,4a,4,1,38.5
25,4a,4,1,38.5
25,4a,4,1,38.5
25,4a,4,1,38.5
25,4a,4,1,41
25,4a,4,1,45.5
25,4a,4,1,45.5
25,4a,4,1,45.5
25,4a,4,1,45.5
25,4a,4,1,45.5
25,4a,4,1,45.5
25,4a,4,1,45.5
25,4a,4,1,45.5
25,4a,4,1,45.5
25,4a,4,1,48
25,4a,4,1,48
25,4a,4,1,48
25,4a,4,1,48
25,4a,4,1,48
25,4a,4,1,52.5
25,4a,4,1,52.5
25,4a,4,1,52.5
25,4a,4,1,55
25,4a,4,1,55
25,4a,4,1,57
25,4a,4,1,57
25,4a,4,1,57
25,4a,4,1,59.5
25,4a,4,1,62
25,4a,4,1,62
25,4a,4,1,64
25,4a,4,1,69
26,4a,4,1,22
26,4a,4,1,34
26,4a,4,1,36
26,4a,4,1,36
26,4a,4,1,38.5
26,4a,4,1,38.5
26,4a,4,1,38.5
26,4a,4,1,38.5
26,4a,4,1,41
26,4a,4,1,43
26,4a,4,1,43
26,4a,4,1,43
26,4a,4,1,45.5
26,4a,4,1,45.5
26,4a,4,1,45.5
26,4a,4,1,45.5
26,4a,4,1,45.5
26,4a,4,1,45.5
26,4a,4,1,45.5
26,4a,4,1,45.5
26,4a,4,1,45.5
26,4a,4,1,48
26,4a,4,1,48
26,4a,4,1,48
26,4a,4,1,50
26,4a,4,1,50
26,4a,4,1,50
26,4a,4,1,52.5
26,4a,4,1,52.5
26,4a,4,1,52.5
26,4a,4,1,52.5
26,4a,4,1,52.5
26,4a,4,1,52.5
26,4a,4,1,55
26,4a,4,1,57
26,4a,4,1,59.5
26,4a,4,1,66.5
26,4a,4,1,66.5
26,4a,4,1,73.5
26,4a,4,1,76
27,4a,4,1,27
27,4a,4,1,27
27,4a,4,1,36
27,4a,4,1,38.5
27,4a,4,1,38.5
27,4a,4,1,41
27,4a,4,1,41
27,4a,4,1,43
27,4a,4,1,43
27,4a,4,1,43
27,4a,4,1,45.5
27,4a,4,1,45.5
27,4a,4,1,45.5
27,4a,4,1,45.5
27,4a,4,1,45.5
27,4a,4,1,45.5
27,4a,4,1,45.5
27,4a,4,1,45.5
27,4a,4,1,45.5
27,4a,4,1,48
27,4a,4,1,50
27,4a,4,1,50
27,4a,4,1,52.5
27,4a,4,1,52.5
27,4a,4,1,52.5
27,4a,4,1,52.5
27,4a,4,1,52.5
27,4a,4,1,52.5
27,4a,4,1,52.5
27,4a,4,1,52.5
27,4a,4,1,52.5
27,4a,4,1,55
27,4a,4,1,57
27,4a,4,1,59.5
27,4a,4,1,59.5
27,4a,4,1,59.5
27,4a,4,1,59.5
27,4a,4,1,62
27,4a,4,1,62
27,4a,4,1,64
28,4b,4,1,31.5
28,4b,4,1,31.5
28,4b,4,1,36
28,4b,4,1,36
28,4b,4,1,36
28,4b,4,1,38.5
28,4b,4,1,38.5
28,4b,4,1,41
28,4b,4,1,41
28,4b,4,1,41
28,4b,4,1,41
28,4b,4,1,43
28,4b,4,1,43
28,4b,4,1,43
28,4b,4,1,45.5
28,4b,4,1,45.5
28,4b,4,1,45.5
28,4b,4,1,48
28,4b,4,1,50
28,4b,4,1,50
28,4b,4,1,50
28,4b,4,1,52.5
28,4b,4,1,52.5
28,4b,4,1,52.5
28,4b,4,1,52.5
28,4b,4,1,52.5
28,4b,4,1,52.5
28,4b,4,1,55
28,4b,4,1,55
28,4b,4,1,55
28,4b,4,1,57
28,4b,4,1,59.5
28,4b,4,1,59.5
28,4b,4,1,62
28,4b,4,1,62
28,4b,4,1,62
28,4b,4,1,64
28,4b,4,1,66.5
28,4b,4,1,66.5
28,4b,4,1,66.5
29,4b,4,1,8
29,4b,4,1,8
29,4b,4,1,10.5
29,4b,4,1,29
29,4b,4,1,31.5
29,4b,4,1,36
29,4b,4,1,36
29,4b,4,1,36
