FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR391,H1,M,4,75,L,6,0.04482,0.002008832,0.005265,2.77E-05,0.212911734,-0.04527398,-0.696019673,-0.68233422,NA,NA,NA
LR392,H1,M,2,100,L,6,0.10674,0.011393428,0.0234,0.00054756,2.883178659,3.515361032,1.585320748,1.650619338,NA,NA,NA
LR393,H2,F,2,50,S,6,0.03558,0.001265936,0.0078,6.08E-05,-0.054659346,-0.253576247,-0.30171884,-0.434592006,54.5,2.15,-0.035546163
LR394,H2,M,2,50,L,6,0.05337,0.002848357,0.0117,0.00013689,0.581625917,0.273252476,0.113488218,-0.192398526,NA,NA,NA
LR395,H2,M,4,100,L,6,0.05976,0.003571258,0.00702,4.93E-05,0.857191254,0.547530304,-0.475244793,-0.58557567,50.5,2.22,0.203488601
LR396,H2,F,1,75,S,6,0.030375,0.000922641,0.00297,8.82E-06,-0.319311152,-0.441059952,-0.916247351,-0.651198344,NA,NA,NA
LR397,H2,F,4,75,S,6,0.042053333,0.001768483,0.00494,2.44E-05,0.274481723,0.020879756,-0.665601147,-0.586312339,NA,NA,NA
LR398,H2,F,1,100,S,6,0.0405,0.00164025,0.00396,1.57E-05,0.195501438,-0.049152135,-0.790288091,-0.622630547,58.5,1.97,-0.315308608
LR399,H2,M,4,100,L,6,0.05976,0.003571258,0.00702,4.93E-05,0.857191254,0.547530304,-0.475244793,-0.58557567,NA,NA,NA
LR400,H2,F,4,75,S,6,0.042053333,0.001768483,0.00494,2.44E-05,0.274481723,0.020879756,-0.665601147,-0.586312339,46,1.42,0.010081159
LR401,H3,F,1,100,L,6,0.060075,0.003609006,0.005874,3.45E-05,1.190805779,1.026044619,-0.546766855,-0.544254922,NA,NA,NA
LR402,H3,M,2,100,L,6,0.10674,0.011393428,0.0234,0.00054756,2.883178659,3.515361032,1.585320748,1.650619338,NA,NA,NA
LR403,H3,M,4,100,S,6,0.05312,0.002821734,0.00624,3.89E-05,0.570844801,0.263151371,-0.573366962,-0.631992416,NA,NA,NA
LR404,H3,M,5,75,L,6,0.03276,0.001073218,0.02016,0.000406426,-0.307169323,-0.400257825,1.177736355,1.017233692,NA,NA,NA
LR405,H3,M,3,75,L,6,0.05418,0.002935472,0.021525,0.000463326,0.616556735,0.306305014,1.34945015,1.272591319,NA,NA,NA
LR406,H3,M,3,100,S,6,0.07224,0.005218618,0.0287,0.00082369,1.395384588,1.172559628,2.252048304,2.889844319,NA,NA,NA
LR407,H3,F,4,100,S,6,0.056108,0.003148108,0.006591,4.34E-05,0.989100935,0.774334385,-0.455541815,-0.507039793,NA,NA,NA
LR408,H3,M,1,50,S,6,0.0199125,0.000396508,0.001947,3.79E-06,-0.861210898,-0.657010201,-1.113416282,-0.789725296,NA,NA,NA
LR409,I1,F,1,100,L,6,0.060075,0.003609006,0.005874,3.45E-05,1.190805779,1.026044619,-0.546766855,-0.544254922,NA,NA,NA
LR410,I1,F,2,75,L,6,0.0667125,0.004450558,0.014625,0.000213891,1.528294033,1.485641429,0.566636663,0.202708844,NA,NA,NA
LR411,I1,F,1,75,L,6,0.045,0.002025,0.0044,0.00001936,0.424307034,0.16097139,-0.734306197,-0.607313774,NA,NA,NA
LR412,I1,M,5,100,L,6,0.04368,0.001907942,0.02688,0.000722534,0.163749843,-0.083552929,2.023096577,2.43587321,NA,NA,NA
LR413,I1,M,2,100,S,6,0.1058505,0.011204328,0.023205,0.000538472,2.844819446,3.443614088,1.560790206,1.609833923,NA,NA,NA
LR414,I1,F,3,100,L,6,0.080367,0.006458855,0.03192875,0.001019445,2.222566479,2.58243271,2.76822004,3.557017207,NA,NA,NA
LR415,I1,M,2,50,S,6,0.05292525,0.002801082,0.0116025,0.000134618,0.562446311,0.25531574,0.101222947,-0.202594879,NA,NA,NA
LR416,I1,M,3,100,L,6,0.07224,0.005218618,0.0287,0.00082369,1.395384588,1.172559628,2.252048304,2.889844319,NA,NA,NA
LR417,I2,F,2,100,L,6,0.08895,0.007912102,0.0195,0.00038025,2.658975018,3.376094523,1.186890595,0.895423901,NA,NA,NA
LR418,I2,F,5,100,L,6,0.04368,0.001907942,0.02688,0.000722534,0.357190726,0.097042502,2.125859623,2.320686619,NA,NA,NA
LR419,I2,F,3,100,S,6,0.07224,0.005218618,0.0287,0.00082369,1.809343573,1.905102052,2.357421091,2.741897881,NA,NA,NA
LR420,I2,M,2,50,L,6,0.05337,0.002848357,0.0117,0.00013689,0.581625917,0.273252476,0.113488218,-0.192398526,NA,NA,NA
LR421,I2,M,2,100,S,6,0.1058505,0.011204328,0.023205,0.000538472,2.844819446,3.443614088,1.560790206,1.609833923,NA,NA,NA
LR422,I2,M,2,75,L,6,0.080055,0.006408803,0.01755,0.000308002,1.732402288,1.624130946,0.849404483,0.57552334,NA,NA,NA
LR423,I2,M,3,50,S,6,0.03612,0.001304654,0.01435,0.000205923,-0.162271118,-0.312448064,0.446851996,0.117409963,NA,NA,NA
LR424,I2,M,1,75,L,6,0.050625,0.002562891,0.00495,2.45E-05,0.463249259,0.164943047,-0.735645933,-0.696774716,NA,NA,NA
LR425,I3,M,2,100,S,6,0.1058505,0.011204328,0.023205,0.000538472,2.844819446,3.443614088,1.560790206,1.609833923,NA,NA,NA
LR426,I3,M,4,100,S,6,0.05312,0.002821734,0.00624,3.89E-05,0.570844801,0.263151371,-0.573366962,-0.631992416,NA,NA,NA
LR427,I3,M,5,100,S,6,0.03276,0.001073218,0.02016,0.000406426,-0.307169323,-0.400257825,1.177736355,1.017233692,NA,NA,NA
LR428,I3,F,4,50,L,6,0.034694,0.001203674,0.0040755,1.66E-05,-0.099708626,-0.287579395,-0.775592844,-0.61876596,NA,NA,NA
LR429,I3,M,5,75,S,6,0.02457,0.000603685,0.01512,0.000228614,-0.660358699,-0.578404613,0.543716189,0.219243354,NA,NA,NA
LR430,I3,M,3,100,L,6,0.07224,0.005218618,0.0287,0.00082369,1.395384588,1.172559628,2.252048304,2.889844319,NA,NA,NA
