FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR375,H2,F,4,50,L,3,0.014017778,0.000196498,0.001646667,2.71E-06,-1.153656656,-0.840250384,-1.08485539,-0.677604568,39.5,0.72,-0.022003549
LR376,H2,M,4,75,L,3,0.021026667,0.000442121,0.00247,6.10E-06,-0.813233969,-0.639772977,-1.048317812,-0.778769393,NA,NA,NA
LR377,H3,M,4,100,L,3,0.028035556,0.000785992,0.003293333,1.08E-05,-0.511489242,-0.509636512,-0.944688753,-0.757687227,47,1.19,-0.058725474
LR378,H3,M,1,50,S,3,0.0135,0.00018225,0.00132,1.74E-06,-1.137269929,-0.738120011,-1.193062912,-0.798326467,NA,NA,NA
LR379,H3,M,5,50,L,3,0.016986667,0.000288547,0.010453333,0.000109272,-0.987162918,-0.69789238,-0.043493173,-0.315984444,46.5,1.5,0.205957339
LR380,H3,M,3,50,L,3,0.028093333,0.000789235,0.011161111,0.00012457,-0.509001842,-0.508409213,0.045591521,-0.247364235,50.5,1.8,0.132343241
LR381,H3,M,5,100,L,3,0.033973333,0.001154187,0.020906667,0.000437089,-0.255857728,-0.370294737,1.272218894,1.154460772,49.5,1.56,0.051273665
LR382,H3,F,1,75,L,3,0.02025,0.000410063,0.00198,3.92E-06,-0.836723654,-0.72351218,-1.042498048,-0.672571751,47,1.45,0.138884776
LR383,H3,M,3,100,L,3,0.056186667,0.003156942,0.022322222,0.000498282,0.700464508,0.387639065,1.450388155,1.428946092,48.5,1.65,0.170660431
LR384,H3,M,3,50,L,3,0.028093333,0.000789235,0.011161111,0.00012457,-0.509001842,-0.508409213,0.045591521,-0.247364235,46.5,1.55,0.238747162
LR385,H1,M,5,100,L,3,0.033973333,0.001154187,0.020906667,0.000437089,-0.255857728,-0.370294737,1.272218894,1.154460772,50,1.41,-0.080993166
LR386,H1,M,4,100,S,3,0.020657778,0.000426744,0.002426667,5.89E-06,-0.829115274,-0.645592334,-1.053771933,-0.779711362,39.5,0.69,-0.064563163
LR387,H1,F,5,100,S,3,0.02184,0.000476986,0.01344,0.000180634,-0.7558659,-0.686930948,0.413748806,0.062444075,37,0.64,0.062995428
LR388,H1,F,5,100,S,3,0.02184,0.000476986,0.01344,0.000180634,-0.7558659,-0.686930948,0.413748806,0.062444075,43,1.3,0.305552554
LR389,H1,F,5,100,L,3,0.033973333,0.001154187,0.020906667,0.000437089,-0.138838192,-0.316761543,1.362554244,1.129130833,42.5,1.07,0.147121737
LR390,H1,M,3,75,S,3,0.02709,0.000733868,0.0107625,0.000115831,-0.552197054,-0.52936261,-0.004579774,-0.286563608,45.5,1.16,0.016337935
LR391,H1,M,4,75,L,3,0.021026667,0.000442121,0.00247,6.10E-06,-0.813233969,-0.639772977,-1.048317812,-0.778769393,38.5,0.75,0.098347419
LR392,H1,M,2,100,L,3,0.055346667,0.003063254,0.012133333,0.000147218,0.664301063,0.352183255,0.167960539,-0.145775107,45,1.42,0.252845426
LR393,H2,F,2,50,S,3,0.01779,0.000316484,0.0039,1.52E-05,-0.96182433,-0.774664028,-0.798519518,-0.625612661,39,0.76,0.071573251
LR394,H2,M,2,50,L,3,0.027673333,0.000765813,0.006066667,3.68E-05,-0.527083565,-0.517273166,-0.595622225,-0.641062477,46.5,1.3,0.062856495
LR395,H2,M,4,100,L,3,0.028035556,0.000785992,0.003293333,1.08E-05,-0.511489242,-0.509636512,-0.944688753,-0.757687227,44,1.08,0.048848259
LR396,H2,F,1,75,S,3,0.02025,0.000410063,0.00198,3.92E-06,-0.836723654,-0.72351218,-1.042498048,-0.672571751,45,1.25,0.125332106
LR397,H2,F,4,75,S,3,0.015493333,0.000240043,0.00182,3.31E-06,-1.078618881,-0.816447958,-1.062829593,-0.675108956,40,0.67,-0.132989638
LR398,H2,F,1,100,S,3,0.027,0.000729,0.00264,6.97E-06,-0.493459604,-0.549175876,-0.958630428,-0.659885726,42,0.94,0.054291782
LR399,H2,M,4,100,L,3,0.028035556,0.000785992,0.003293333,1.08E-05,-0.511489242,-0.509636512,-0.944688753,-0.757687227,NA,NA,NA
LR400,H2,F,4,75,S,3,0.015493333,0.000240043,0.00182,3.31E-06,-1.078618881,-0.816447958,-1.062829593,-0.675108956,38,0.66,0.011056585
LR401,H3,F,1,100,L,3,0.027,0.000729,0.00264,6.97E-06,-0.493459604,-0.549175876,-0.958630428,-0.659885726,NA,NA,NA
LR402,H3,M,2,100,L,3,0.055346667,0.003063254,0.012133333,0.000147218,0.664301063,0.352183255,0.167960539,-0.145775107,49,1.55,0.076329949
LR403,H3,M,4,100,S,3,0.020657778,0.000426744,0.002426667,5.89E-06,-0.829115274,-0.645592334,-1.053771933,-0.779711362,NA,NA,NA
LR404,H3,M,5,75,L,3,0.02548,0.00064923,0.01568,0.000245862,-0.621510323,-0.561393488,0.614362861,0.296699194,50,1.59,0.039151146
