FID,Family,Shelf_stack,Diet,Level,Size,Trial,Days_breeding,P_day,P2_day,L_day,L2_day,Mean_react,Total_ZZ,Total_lead,Total_court
LR303,F128,F2,3,50,L,8,132,0.03612,0.001304654,0.01435,0.000205923,92.25,5,0,850
LR304,F128,F2,5,75,S,1,45,0.024388,0.000594775,0.015008,0.00022524,44,0,0,156
LR305,F106,F3,3,100,S,3,114,0.07224,0.005218618,0.0287,0.00082369,3.666666667,18,16,874
LR311,F135,F3,1,100,S,2,104,0.030115385,0.000906936,0.002944615,8.67E-06,35.5,0,0,377
LR312,F135,F3,1,75,L,5,167,0.050523952,0.00255267,0.00494012,2.44E-05,10.68,24,7,597
LR314,F143,G1,2,75,S,4,160,0.070214906,0.004930133,0.015392813,0.000236939,91,9,4,617
LR315,F143,G1,4,50,S,7,167,0.02656,0.000705434,0.00312,9.73E-06,67.14285714,8,5,1328
LR322,F132,G2,3,75,S,2,112,0.05418,0.002935472,0.021525,0.000463326,300,0,0,0
LR327,F132,G2,5,50,S,3,112,0.01638,0.000268304,0.01008,0.000101606,132.3333333,15,6,299
LR328,F132,G2,3,75,L,6,163,0.054069202,0.002923479,0.021480982,0.000461433,279.1666667,0,0,35
LR329,F132,G3,3,50,S,5,161,0.03612,0.001304654,0.01435,0.000205923,56.4,4,0,530
LR331,F132,G3,4,50,S,4,163,0.02656,0.000705434,0.00312,9.73E-06,27.75,4,2,558
LR332,F132,G3,3,100,S,3,175,0.07224,0.005218618,0.0287,0.00082369,27.66666667,9,6,593
LR333,F132,G3,2,50,S,6,160,0.046809937,0.00219117,0.010261875,0.000105306,83.83333333,3,0,467
LR334,F132,G3,4,75,S,3,139,0.03974446,0.001579622,0.004668777,2.18E-05,142.3333333,2,1,325
LR340,F106,G1,1,50,S,4,76,0.0135,0.00018225,0.00132,1.74E-06,230.25,38,5,279
LR347,F132,G2,4,50,L,7,153,0.02988,0.000892814,0.00351,1.23E-05,84.71428571,23,5,672
LR348,F132,G2,3,75,S,8,177,0.054077966,0.002924426,0.021484463,0.000461582,122.5,17,4,983
LR352,F107,G2,5,75,S,5,160,0.02457,0.000603685,0.01512,0.000228614,109.4,0,0,452
LR353,F132,G3,4,100,L,3,119,0.05976,0.003571258,0.00702,4.93E-05,105,23,16,578
LR358,F135,G3,4,75,L,7,132,0.04482,0.002008832,0.005265,2.77E-05,91.57142857,43,13,898
LR360,F135,G3,3,50,L,7,153,0.03612,0.001304654,0.01435,0.000205923,70,35,17,1201
LR361,F128,H1,4,100,L,4,111,0.05976,0.003571258,0.00702,4.93E-05,150,0,0,64
LR363,F128,H1,4,100,L,4,119,0.05976,0.003571258,0.00702,4.93E-05,160,7,7,303
LR364,F128,H1,3,100,L,1,45,0.07224,0.005218618,0.0287,0.00082369,300,0,0,0
LR366,F128,H1,4,75,L,5,91,0.044655824,0.001994143,0.005245714,2.75E-05,61.4,12,7,867
LR367,F128,H1,3,50,L,7,120,0.03612,0.001304654,0.01435,0.000205923,248.7142857,0,0,80
LR368,F128,H1,3,50,L,8,160,0.03612,0.001304654,0.01435,0.000205923,132.5,14,0,679
LR372,F129,H2,3,75,L,5,149,0.054058792,0.002922353,0.021476846,0.000461255,246.8,0,0,17
LR373,F129,H2,2,50,L,6,113,0.05337,0.002848357,0.0117,0.00013689,130.5,3,1,200
LR374,F129,H2,2,50,L,8,188,0.055262553,0.00305395,0.012114894,0.000146771,147.125,1,0,245
LR379,F135,H3,5,50,L,7,181,0.02184,0.000476986,0.01344,0.000180634,88.57142857,6,1,547
LR380,F135,H3,3,50,L,6,211,0.03612,0.001304654,0.01435,0.000205923,65.83333333,36,12,889
LR381,F135,H3,5,100,L,5,128,0.04368,0.001907942,0.02688,0.000722534,263.2,3,3,106
LR383,F135,H3,3,100,L,4,119,0.07224,0.005218618,0.0287,0.00082369,160.75,6,1,370
LR384,F135,H3,3,50,L,4,203,0.03612,0.001304654,0.01435,0.000205923,161.75,0,0,337
LR385,F128,H1,5,100,L,3,132,0.04368,0.001907942,0.02688,0.000722534,234.6666667,0,0,196
LR386,F128,H1,4,100,S,3,100,0.05312,0.002821734,0.00624,3.89E-05,219,2,2,60
LR390,F128,H1,3,75,S,4,113,0.054020177,0.00291818,0.021461504,0.000460596,150.1125,2,0,166
LR391,F128,H1,4,75,L,4,119,0.044694454,0.001997594,0.005250252,2.76E-05,132.75,8,2,438
LR392,F106,H1,2,100,L,7,154,0.107433117,0.011541875,0.023551948,0.000554694,121,27,10,822
LR394,F102,H2,2,50,L,7,155,0.05377171,0.002891397,0.011788065,0.000138958,27,36,22,1635
LR395,F129,H2,4,100,L,4,146,0.05976,0.003571258,0.00702,4.93E-05,114,2,0,207
LR402,F135,H3,2,100,L,8,163,0.108377117,0.011745599,0.023758896,0.000564485,49.875,67,21,1627
LR404,F135,H3,5,75,L,7,148,0.03276,0.001073218,0.02016,0.000406426,156,2,1,665
LR405,F135,H3,3,75,L,6,188,0.05418,0.002935472,0.021525,0.000463326,145.3333333,39,14,793
LR406,F135,H3,3,100,S,5,169,0.07224,0.005218618,0.0287,0.00082369,4.8,73,40,1263
LR412,F127,I1,5,100,L,7,160,0.04368,0.001907942,0.02688,0.000722534,155.2857143,0,0,174
LR413,F127,I1,2,100,S,6,185,0.095392865,0.009099799,0.020912432,0.00043733,92.83333333,9,1,885
LR415,F108,I1,2,50,S,8,188,0.047786968,0.002283594,0.010476064,0.000109748,120.75,6,0,577
LR416,F127,I1,3,100,L,3,113,0.07224,0.005218618,0.0287,0.00082369,211,5,3,167
LR420,F117,I2,2,50,L,6,153,0.053660686,0.002879469,0.011763725,0.000138385,73.66666667,28,10,1114
LR421,F112,I2,2,100,S,3,119,0.089099496,0.00793872,0.019532773,0.000381529,22.33333333,1,0,632
LR422,F117,I2,2,75,L,3,99,0.079785455,0.006365719,0.017490909,0.000305932,179.5,2,1,29
LR423,F117,I2,3,50,S,6,148,0.03612,0.001304654,0.01435,0.000205923,118.1666667,18,11,1044
LR427,F127,I3,5,100,S,1,190,0.03276,0.001073218,0.02016,0.000406426,23,0,0,52
LR429,F127,I3,5,75,S,7,163,0.024519755,0.000601218,0.01508908,0.00022768,117.2857143,0,0,285
LR430,F127,I3,3,100,L,6,190,0.07224,0.005218618,0.0287,0.00082369,45.16666667,18,7,1017
LR438,F127,I1,1,50,L,5,160,0.03375,0.001139063,0.0033,1.09E-05,247.8,0,0,3
LR440,F127,I1,2,75,S,1,27,0.052711111,0.002778461,0.011555556,0.000133531,16,0,0,231
LR442,F117,I2,2,100,S,4,113,0.088162832,0.007772685,0.019327434,0.00037355,161,2,0,183
LR445,F117,I2,4,100,L,5,163,0.05976,0.003571258,0.00702,4.93E-05,120,0,0,392
