FID,Family,Stack_shelf,Diet,Level,Size,P_day,P2_day,L_day,L2_day,Days_breeding,Number_clutches,mean_number,Total_egg
LR491,F115,J2,4,50,L,0.032109143,0.001030997,0.003771857,1.42E-05,136,13,116.8333333,1402
LR492,F115,J2,1,50,L,0.022205607,0.000493089,0.002171215,4.71E-06,110,8,116.2857143,814
LR494,F115,J2,2,100,L,0.079152609,0.006265135,0.017352174,0.000301098,116,10,137.2,1372
LR495,F115,J2,3,100,S,0.07224,0.005218618,0.0287,0.00082369,129,12,132.75,1593
LR497,F117,J3,5,100,S,0.024588571,0.000604598,0.015131429,0.00022896,111,13,90.46153846,1176
LR498,F117,J3,5,100,S,0.025345185,0.000642378,0.015597037,0.000243268,128,15,64.57142857,904
LR501,F117,J3,2,50,L,0.036704655,0.001347232,0.008046552,6.47E-05,81,9,157,1256
LR506,F133,K1,3,100,S,0.07224,0.005218618,0.0287,0.00082369,134,12,91,1001
LR507,F136,K1,4,75,L,0.044338065,0.001965864,0.005208387,2.71E-05,0,1,118,118
LR509,F136,K1,1,50,L,0.025369128,0.000643593,0.002480537,6.15E-06,129,14,97.28571429,1362
LR510,F136,K1,1,75,S,0.02201087,0.000484478,0.002152174,4.63E-06,66,9,102.2222222,920
LR512,F136,K1,2,75,S,0.042103,0.001772663,0.00923,8.52E-05,58,8,92.625,741
LR266,F122,K2,5,75,S,0.018704903,0.000349873,0.01151071,0.000132496,121,11,97.18181818,1069
LR267,F122,K2,3,75,S,0.054071856,0.002923766,0.021482036,0.000461478,145,12,100.2,1002
LR517,F102,K2,3,50,S,0.03612,0.001304654,0.01435,0.000205923,149,12,102.0909091,1123
LR270,F122,K2,2,75,L,0.052889189,0.002797266,0.011594595,0.000134435,21,3,134.6666667,404
LR271,F122,K2,4,75,L,0.048174825,0.002320814,0.005659091,3.20E-05,105,11,99.72727273,1097
LR522,F127,K3,3,50,S,0.03612,0.001304654,0.01435,0.000205923,135,16,102.9333333,1544
LR523,F127,K3,2,100,S,0.06254828,0.003912287,0.013712102,0.000188022,134,18,124.5,1992
LR272,F122,K3,2,75,L,0.05842236,0.003413172,0.0128076,0.000164035,97,8,123.1666667,739
LR275,F122,K3,5,100,S,0.023301732,0.000542971,0.014339528,0.000205622,72,4,97,194
LR530,F136,K1,4,75,L,0.048435616,0.002346009,0.005689726,3.24E-05,142,13,86.61538462,1126
LR531,F136,K1,2,75,S,0.047032312,0.002212038,0.010310625,0.000106309,136,13,99.53846154,1294
LR534,F136,K1,2,50,S,0.031161569,0.000971043,0.006831373,4.67E-05,149,11,100.5454545,1106
LR535,F136,K1,2,100,S,0.060759692,0.00369174,0.01332,0.000177422,108,9,98.625,789
LR536,F136,K1,5,100,L,0.04368,0.001907942,0.02688,0.000722534,68,4,93.5,374
LR538,F133,K2,4,50,L,0.02988,0.000892814,0.00351,1.23E-05,51,2,90,180
LR540,F133,K2,2,100,S,0.056621935,0.003206044,0.012412903,0.00015408,115,9,116.1111111,1045
LR543,F133,K2,2,100,L,0.079752449,0.006360453,0.017483673,0.000305679,172,21,142,2982
LR545,F129,K3,4,75,L,0.048917468,0.002392919,0.005746329,3.30E-05,101,10,48.7,487
LR553,F136,L1,2,100,S,0.061705175,0.003807529,0.013527273,0.000182987,110,12,111.9166667,1343
LR554,F136,L1,5,75,L,0.032690446,0.001068665,0.020117197,0.000404702,135,14,99.84615385,1298
LR556,F136,L1,1,50,S,0.016146,0.000260693,0.00157872,2.49E-06,118,7,74.83333333,449
LR321,F132,L2,1,50,S,0.016363636,0.000267769,0.0016,2.56E-06,94,11,88.3,883
LR323,F132,L2,2,75,S,0.046328125,0.002146295,0.01015625,0.000103149,121,17,128.3529412,2182
LR324,F132,L2,1,50,S,0.01575,0.000248063,0.00154,2.37E-06,85,8,82.875,663
LR325,F132,L2,5,100,L,0.04368,0.001907942,0.02688,0.000722534,136,9,153.6,768
LR326,F132,L2,4,50,L,0.032290411,0.001042671,0.003793151,1.44E-05,135,6,121.5,486
LR569,F133,L3,4,100,S,0.049211348,0.002421757,0.005780851,3.34E-05,161,10,97.42857143,682
LR571,F133,L3,3,75,L,0.054259912,0.002944138,0.021556748,0.000464693,129,10,160.4444444,1444
LR575,F133,L3,4,75,S,0.035966667,0.001293601,0.004225,1.79E-05,116,11,96.63636364,1063
LR576,F133,L3,5,50,S,0.01092,0.000119246,0.00672,4.52E-05,0,1,97,97
LR579,F137,L1,1,75,S,0.025409236,0.000645629,0.002484459,6.17E-06,134,17,67.66666667,1015
LR580,F137,L1,4,50,S,0.025019346,0.000625968,0.00293902,8.64E-06,145,11,53.81818182,592
LR581,F137,L1,4,50,S,0.01992,0.000396806,0.00234,5.48E-06,0,1,66,66
LR582,F137,L1,3,100,L,0.07224,0.005218618,0.0287,0.00082369,61,10,126.8,1268
